Name,Attendance,Following Calls,,,,
_ShadowMage_,4,3,,,,
_Thurm_,,2,,,,
_WARTIME_,,2,,,,
93anthracite,4,4,,,,
albodo,3,4,,,,
AutisticScreeching,1,-,,,,
BabA_YA6A,3,3,,,,
Bagel22,1,5,,,,
BaldorII,2,3,,,,
Belakian,2,1,,,,
Bfoster19955,4,2,,,,
bgt7721,3,3,,,,
blehg,3,3,,,,
BradenT7,,5,,,,
Canteen,5,4,,,,
Cheap_exe,4,3,,,,
CmdrWootles,2,3,,,,
codeblue416,1,2,,,,
coolhun,3,3,,,,
CrinZin,1,3,,,,
Czechmech,1,3,,,,
DaBloodyBaron,4,4,,,,
DTXMike,2,2,,,,
FightinTexasAggie2001,2,3,,,,
iAston,,-,,,,
IcedTeaWithNoIce,5,4,,,,
Ipoop1,1,2,,,,
Jak_Atackka,2,4,,,,
jhill123,2,5,,,,
Jinksy,1,2,,,,
kayjay,4,4,,,,
Krumhorn,4,3,,,,
Lelantus,2,2,,,,
Lil_Pekker,1,4,,,,
LiLGhettoSmurf,3,5,,,,
Loose_Trigger,2,1,,,,
Mae_Prydain_Ddraig,2,4,,,,
Malamute65,2,3,,,,
MBX,3,3,,,,
meem1029,-,2,,,,
millerstank,2,4,,,,
Mini_Marine,,-,,,,
Morbii,1,2,,,,
novam1a,2,3,,,,
onestout,3,2,,,,
Ononon,2,3,,,,
PaisleyKnave507,-,3,,,,
Patient_0,4,4,,,,
pengy_win95,1,5,,,,
phasor4,2,2,,,,
Player75,-,-,,,,
Please_Buff_Arty,1,3,,,,
positivePXL,1,3,,,,
Prof_,2,3,,,,
psykoblade808,4,2,,,,
Qsuerte,2,3,,,,
Raptango,1,2,,,,
REDENG,1,3,,,,
reeper_3,1,1,,,,
reggmann,2,2,,,,
regretfulparakeet,4,4,,,,
Rhainds,1,3,,,,
riz897,3,2,,,,
ryd4ever,2,2,,,,
Santana839,3,2,,,,
SCInferno,1,3,,,,
SergeantSmeagol,2,2,,,,
Shift_Gears,2,3,,,,
Sinkface,1,3,,,,
Sparafucil3,3,5,,,,
specialk8541,2,2,,,,
SunFlash,2,3,,,,
TacoJohnHG,3,4,,,,
tankace44,2,5,,,,
The_Illusive_Man,2,4,,,,
thegraymouser,2,3,,,,
thelaw711,,3,,,,
trainking01,1,2,,,,
Turkey_Vulture,2,5,,,,
tyman2177,2,5,,,,
westlmartin,1,3,,,,
Wings_of_Time,3,3,,,,
WolfOfSpite,1,1,,,,
Wonder__Noob,1,-,,,,
Xanthuss,4,3,,,,
Zanini11,4,2,,,,
zonicmaga,1,3,,,,
